1,1,1,1
2,2,33,1
3,3,65,1
4,4,97,1
5,5,125,1
6,6,153,1
7,7,181,1
8,8,209,1
9,1,1,2
10,2,29,2
11,3,57,2
12,4,85,2
13,5,113,2
14,6,141,2
15,7,169,2
16,8,197,2
17,9,225,2
18,10,253,2
19,11,281,2
20,12,309,2
21,1,1,3
22,2,33,3
23,3,65,3
24,4,97,3
25,5,141,3
26,6,173,3
27,7,205,3
28,8,237,3
29,9,269,3
30,10,301,3
31,11,333,3
32,12,365,3
33,1,1,4
34,2,33,4
35,3,65,4
36,4,97,4
37,5,139,4
38,6,171,4
39,7,203,4
40,8,235,4
41,9,267,4
42,10,299,4
43,11,339,4
44,12,371,4
45,13,0,4
46,1,1,5
47,2,33,5
48,3,65,5
49,4,97,5
50,5,141,5
51,6,173,5
52,7,205,5
53,8,237,5
54,9,269,5
55,10,301,5
56,11,333,5
57,12,365,5
58,1,1,6
59,2,33,6
60,3,65,6
61,4,97,6
62,5,141,6
63,6,177,6
64,7,209,6
65,8,241,6
66,9,273,6
67,10,305,6
68,11,353,6
69,12,385,6
70,1,1,7
71,2,33,7
72,3,65,7
73,4,97,7
74,5,129,7
75,6,161,7
76,7,193,7
77,8,225,7
78,9,257,7
79,10,289,7
80,11,337,7
81,12,369,7
82,1,1,8
83,2,33,8
84,3,65,8
85,4,97,8
86,5,147,8
87,6,179,8
88,7,211,8
89,8,243,8
90,9,275,8
91,10,325,8
92,11,357,8
93,12,389,8
94,1,1,9
95,2,33,9
96,3,65,9
97,4,117,9
98,5,149,9
99,6,181,9
100,7,213,9
101,8,245,9
102,9,277,9
103,10,309,9
104,11,361,9
105,12,393,9
106,1,1,10
107,2,33,10
108,3,65,10
109,4,119,10
110,5,151,10
111,6,183,10
112,7,215,10
113,8,247,10
114,9,279,10
115,10,329,10
116,11,361,10
117,12,393,10
118,1,1,11
119,2,33,11
120,3,65,11
121,4,119,11
122,5,151,11
123,6,183,11
124,7,215,11
125,8,247,11
126,9,279,11
127,10,333,11
128,11,365,11
129,12,397,11
130,1,1,12
131,2,33,12
132,3,67,12
133,4,121,12
134,5,153,12
135,6,185,12
136,7,217,12
137,8,253,12
138,9,285,12
139,10,319,12
140,11,371,12
141,12,403,12
142,1,1,13
143,2,33,13
144,3,73,13
145,4,127,13
146,5,161,13
147,6,191,13
148,7,223,13
149,8,259,13
150,9,313,13
151,10,343,13
152,11,377,13
153,12,409,13
154,1,1,14
155,2,35,14
156,3,73,14
157,4,135,14
158,5,171,14
159,6,209,14
160,7,241,14
161,8,271,14
162,9,307,14
163,10,365,14
164,11,401,14
165,12,437,14
166,1,1,15
167,2,39,15
168,3,79,15
169,4,143,15
170,5,179,15
171,6,227,15
172,7,271,15
173,8,317,15
174,9,359,15
175,10,427,15
176,11,467,15
177,12,507,15
178,1,2,16
179,2,45,16
180,3,87,16
181,4,155,16
182,5,195,16
183,6,239,16
184,7,391,16
185,8,339,16
186,9,379,16
187,10,447,16
188,11,487,16
189,12,531,16
190,1,2,17
191,2,45,17
192,3,89,17
193,4,181,17
194,5,203,17
195,6,225,17
