327,6,343,28
328,7,395,28
329,8,463,28
330,9,531,28
331,10,607,28
332,11,717,28
333,12,803,28
334,1,3,29
335,2,113,29
336,3,199,29
337,4,267,29
338,5,477,29
339,6,587,29
340,7,677,29
341,8,767,29
342,9,879,29
343,10,993,29
344,11,1101,29
345,12,1167,29
346,1,3,30
347,2,61,30
348,3,113,30
349,4,181,30
350,5,237,30
351,6,277,30
352,7,315,30
353,8,343,30
354,9,427,30
355,10,491,30
356,11,531,30
357,12,575,30
358,1,3,31
359,2,77,31
360,3,153,31
361,4,219,31
362,5,277,31
363,6,343,31
364,7,389,31
365,8,441,31
366,9,533,31
367,10,607,31
368,11,659,31
369,12,713,31
370,1,3,32
371,2,41,32
372,3,101,32
373,4,151,32
374,5,225,32
375,6,291,32
376,7,343,32
377,8,395,32
378,9,459,32
379,10,543,32
380,11,597,32
381,12,649,32
382,1,3,33
383,2,43,33
384,3,83,33
385,4,127,33
386,5,183,33
387,6,253,33
388,7,289,33
389,8,359,33
390,9,419,33
391,10,487,33
392,11,565,33
393,12,625,33
394,1,3,34
395,2,79,34
396,3,135,34
397,4,156,34
398,5,293,34
399,6,359,34
400,7,431,34
401,8,491,34
402,9,430,34
403,10,603,34
404,11,659,34
405,12,733,34
406,1,3,35
407,2,71,35
408,3,135,35
409,4,213,35
410,5,291,35
411,6,361,35
412,7,411,35
413,8,461,35
414,9,545,35
415,10,595,35
416,11,643,35
417,12,707,35
418,1,3,36
419,2,59,36
420,3,111,36
421,4,193,36
422,5,261,36
423,6,333,36
424,7,393,36
425,8,477,36
426,9,553,36
427,10,615,36
428,11,669,36
429,12,711,36
430,1,3,37
431,2,81,37
432,3,145,37
433,4,215,37
434,5,289,37
435,6,379,37
436,7,439,37
437,8,509,37
438,9,581,37
439,10,641,37
440,11,721,37
441,12,781,37
442,1,3,38
443,2,77,38
444,3,141,38
445,4,185,38
446,5,257,38
447,6,351,38
448,7,411,38
449,8,479,38
450,9,553,38
451,10,623,38
452,11,683,38
453,12,739,38
454,1,3,39
455,2,71,39
456,3,111,39
457,4,189,39
458,5,267,39
459,6,337,39
460,7,397,39
461,8,453,39
462,9,541,39
463,10,593,39
464,11,665,39
465,12,719,39
466,1,3,40
467,2,91,40
468,3,145,40
469,4,237,40
470,5,309,40
471,6,373,40
472,7,439,40
473,8,503,40
474,9,663,40
475,10,733,40
476,11,791,40
477,12,865,40
478,1,3,41
479,2,71,41
480,3,123,41
481,4,187,41
482,5,243,41
483,6,303,41
484,7,361,41
485,8,447,41
486,9,505,41
487,10,657,41
488,11,731,41
489,12,807,41
490,1,3,42
491,2,69,42
492,3,141,42
493,4,205,42
494,5,263,42
495,6,333,42
496,7,409,42
497,8,545,42
498,9,617,42
499,10,683,42
500,11,751,42
501,12,813,42
502,1,3,43
503,2,85,43
504,3,143,43
505,4,211,43
506,5,285,43
507,6,365,43
508,7,447,43
509,8,533,43
510,9,597,43
511,10,667,43
512,11,727,43
513,12,783,43
514,1,3,44
515,2,85,44
516,3,151,44
517,4,221,44
518,5,301,44
519,6,379,44
520,7,455,44
521,8,535,44
522,9,619,44
523,10,685,44
524,11,765,44
525,12,835,44
526,1,3,45
527,2,75,45
528,3,163,45
529,4,349,45
530,5,341,45
531,6,425,45
532,7,497,45
533,8,611,45
534,9,687,45
535,10,753,45
536,11,825,45
537,12,885,45
538,1,3,46
539,2,53,46
540,3,169,46
541,4,269,46
542,5,315,46
543,6,365,46
544,7,445,46
545,8,501,46
546,9,567,46
547,10,641,46
548,11,751,46
549,12,803,46
550,1,3,47
551,2,75,47
552,3,169,47
553,4,235,47
554,5,345,47
555,6,409,47
556,7,489,47
557,8,547,47
558,9,617,47
559,10,691,47
560,11,765,47
561,12,821,47
562,1,3,48
563,2,65,48
564,3,139,48
565,4,219,48
566,5,293,48
567,6,371,48
568,7,443,48
569,8,523,48
570,9,649,48
571,10,723,48
572,11,801,48
573,12,863,48
574,1,3,49
575,2,109,49
576,3,201,49
577,4,267,49
578,5,367,49
579,6,457,49
580,7,531,49
581,8,597,49
582,9,745,49
583,10,811,49
584,11,873,49
585,12,955,49
586,1,3,50
587,2,81,50
588,3,135,50
589,4,219,50
590,5,325,50
591,6,415,50
592,7,497,50
593,8,587,50
594,9,703,50
595,10,777,50
596,11,829,50
597,12,891,50
598,1,3,51
599,2,87,51
600,3,161,51
601,4,227,51
602,5,361,51
603,6,453,51
604,7,505,51
605,8,567,51
606,9,653,51
607,10,713,51
608,11,775,51
609,12,869,51
610,1,3,52
611,2,93,52
612,3,153,52
613,4,227,52
614,5,329,52
615,6,439,52
616,7,521,52
617,8,579,52
618,9,665,52
619,10,733,52
620,11,829,52
621,12,905,52
622,1,3,53
623,2,93,53
624,3,183,53
625,4,265,53
626,5,393,53
627,6,467,53
628,7,533,53
629,8,605,53
630,9,693,53
631,10,773,53
632,11,843,53
633,12,915,53
634,1,3,54
635,2,111,54
636,3,199,54
637,4,275,54
638,5,389,54
639,6,525,54
640,7,589,54
641,8,687,54
642,9,763,54
643,10,873,54
644,11,927,54
645,12,995,54
646,1,3,55
647,2,81,55
648,3,135,55
649,4,219,55
650,5,362,55
651,6,451,55
652,7,535,55
653,8,637,55
654,9,727,55
655,10,797,55
656,11,887,55
657,12,947,55
658,1,3,56
659,2,61,56
660,3,103,56
661,4,191,56
662,5,315,56
663,6,409,56
664,7,495,56
665,8,603,56
666,9,713,56
667,10,799,56
668,11,893,56
669,12,971,56
670,1,3,57
671,2,74,57
672,3,127,57
673,4,193,57
674,5,289,57
675,6,372,57
676,7,435,57
677,8,537,57
678,9,669,57
679,10,761,57
680,11,819,57
681,12,877,57
682,1,3,58
683,2,101,58
684,3,183,58
685,4,289,58
686,5,395,58
687,6,483,58
688,7,577,58
689,8,679,58
690,9,765,58
691,10,847,58
692,11,939,58
693,12,1037,58
694,1,3,59
695,2,91,59
696,3,143,59
697,4,201,59
698,5,333,59
699,6,415,59
700,7,525,59
701,8,673,59
702,9,761,59
703,10,917,59
704,11,993,59
705,12,1053,59
706,1,3,60
707,2,91,60
708,3,145,60
709,4,223,60
710,5,359,60
711,6,433,60
712,7,505,60
713,8,625,60
714,9,709,60
715,10,783,60
716,11,881,60
717,12,985,60
718,1,3,61
719,2,81,61
720,3,133,61
721,4,229,61
722,5,335,61
723,6,439,61
724,7,525,61
725,8,631,61
726,9,759,61
727,10,865,61
728,11,921,61
729,12,977,61
730,1,3,62
731,2,97,62
732,3,161,62
733,4,245,62
734,5,379,62
735,6,491,62
736,7,557,62
737,8,621,62
738,9,749,62
739,10,869,62
740,11,935,62
741,12,983,62
742,1,3,63
743,2,69,63
744,3,157,63
745,4,267,63
746,5,381,63
747,6,461,63
748,7,513,63
749,8,587,63
750,9,719,63
751,10,793,63
752,11,855,63
753,12,945,63
754,1,3,64
755,2,85,64
756,3,135,64
757,4,215,64
758,5,323,64
759,6,409,64
760,7,483,64
761,8,533,64
762,9,625,64
763,10,719,64
764,11,769,64
765,12,849,64
766,1,3,65
767,2,81,65
768,3,145,65
769,4,209,65
770,5,311,65
771,6,385,65
772,7,467,65
773,8,503,65
774,9,617,65
775,10,665,65
776,11,721,65
777,12,779,65
778,1,3,66
779,2,113,66
780,3,193,66
781,4,277,66
782,5,345,66
783,6,411,66
784,7,479,66
785,8,513,66
786,9,617,66
